TICKET,APAR,SUMMARY,COMPONENT,SUBCOMPONENT1,SUBCOMPONENT2,SUBCOMPONENT3,RELEASE_NOTE
SPM-139705,DT037294,"Low contrast on banner search placeholder text when the field receives focus ",CEF,Application Development Environment,Client Development Environment,,"*Issue Description:*
When a caseworker clicks the Search input field in the banner, the placeholder text does not have enough contrast against the background. This makes the text difficult to read for some users when the field is focused. 
*User Interface Impact:* No
*Steps to Reproduce:*
# Log in as a caseworker.
# Navigate to the banner and click the Search input field.
# Inspect the placeholder text color contrast using the Color Contrast Analyzer tool.
# Issue: The contrast between the placeholder text and the background is insufficient when the field is focused.

*Resolution:*
The placeholder text color in the Search input field is updated to ensure it is clear and readable when the field is focused. The text now uses a darker color that provides a higher contrast against the background, meeting standard design guidelines.
"
SPM-139859,,Update the version of the commons-codec JAR file to the latest version,Third Party Updates,,,,"The Apache Commons Codec package contains simple encoders and decoders for various formats such as Base64 and Hexadecimal. In addition to these widely used encoders and decoders, the commons-codec library also maintains a collection of phonetic encoding utilities. 
The library is used in the Cúram application in a variety of places for Base64 encoding purposes, including the Client Development Environment for Java (CDEJ) general plugin infrastructure. 
The version of commons-codec used by Cúram has now been updated from 1.16.0 to 1.21.0.  The new version contains some defect fixes and minor enhancements. 
As a result of this upgrade, the version of the commons-codec JAR has been updated in the following files in the Java Development Environment (JDE) deliverable:
* CuramSDEJlibthird&#95;party&#95;version.properties

Other changes in the Cúram deliverable include:
* CuramCDEJlibextjarcommons-codec-1.21.0.jar - version of the JAR file has been updated.
* CuramSDEJlibcommons-codec-1.21.0.jar - version of the JAR file has been updated.

It is recommended that you update any references in custom scripts and other artifacts to point to the new version of the JAR files that are specified above.
"
SPM-141769,,A user with lower sensitivity is able to see the case audit details of a client with higher sensitivity,CEF,Application Development Environment,Security Management,,"*Issue Description:*
A user with lower sensitivity can see the case audit details of a client with higher sensitivity.
*User Interface Impact:* No
*Prerequisites:*
# Log in as an administrator.
# Navigate to the Admin Workspace, select Case Audits, then Case Audit Configurations, and add a New Case Audit Configuration with the following details:## Choose Product Delivery and any benefit type from the search.
## Set Algorithm to Systematic Sampling.
## Select the Allow Audit Coordinator to Specify Audit Cases checkbox.
## Set Dynamic Query to Benefit Product Delivery Case Query.
## Select all Focus Areas and click Save.

# Navigate to the User Search.
# Set the sensitivity level to 5 for both the administrator and caseworker.

*Steps to Reproduce (Generic):*
# Log in as a caseworker and register a person.
# Create an integrated case and two or more associated product delivery cases for the person.
# Log in as an audit coordinator.
# In Audits, create a new audit plan:## Set Purpose to Compliance Review.
## Set Audit Item to the Benefit Type configured above.
## Set User Involvement to Provide Feedback and Save.

# Select My Audit Plans in Audits and choose Select Specific Cases to Audit from the action menu.
# Search for the product deliveries by client name. Select the checkboxes for the cases to audit, then Add Selected and Finish.
# Navigate to Case Audit Search from the shortcuts panel.
# Select Audit Item as the product delivery and search.
# In the search results, the user can access the details of the client case audits.
# Log in as a caseworker.
# Increase the sensitivity level of the registered client from 1 to 3.
# Log in again as the audit coordinator.
# Navigate to Case Audit Search, select the product delivery as the audit item, and search again.
# Verify the case audit details of the client with increased sensitivity in the search results.
# Issue: The audit coordinator, who has a lower sensitivity level, can see the case audit details of a client with a higher sensitivity level.

*Resolution:*
Users with lower sensitivity levels are now restricted from accessing case audit details of clients with higher sensitivity. When access is restricted, the status field appears blank and other fields in the case audit details are displayed with an asterisk (*) to indicate restricted access. "
SPM-142279,DT037278,GenerateInstructionLineItems batch job processing a large number of cases not requiring payment,ENT,Financial Management,Financials,Batch Processing,"*Issue Description:*
The Generate Instruction Line Items batch process is responsible for converting financial components into instruction line items. To ensure that clients remain eligible and entitled to the same amounts specified on the financial components to be paid, the batch process selects a range of cases that are believed to be due for payment and then reassesses them before proceeding with the payment process, provided that the next processing date on the financial components has been reached. 
The logic that controls the first part of this processing, namely, the selection of cases that need to be reassessed, is dependent on the financial calendar. If exclusion dates exist on the calendar, the ?processingDateTo? batch parameter is set to the latest exclusion date, provided this date is later than the ?processingDateTo? batch parameter specified when scheduling the batch process. In many instances, the exclusion date will be later, as December 26 is often the latest exclusion date. 
If the batch process runs at the start of the year (for example, in January), the resulting date range can be quite large and may return almost all cases in the system, including those that are not due for payment. As a result, for any customer using the financial calendar, there is a risk that the Generate Instruction Line Items batch process will spend a significant amount of time reassessing cases that are not due for payment.
*User Interface Impact:* No
*Steps to Reproduce: *N/A
*Resolution:*
To resolve the issue outlined above, the dependency on the financial calendar when determining which cases to reassess was removed from the Generate Instruction Line Items batch process. The batch process behaves consistently for all customers now. It is driven by the batch parameter dates specified when the batch process is scheduled; if these are not provided, the batch parameter dates default to the current date. 
For customers who previously relied on the financial calendar and therefore may not have needed to give much, if any, consideration to the batch parameter dates when scheduling and running the Generate Instruction Line Items batch process, greater attention may now be required. This is particularly important when payments are due over a bank holiday weekend, and the organization wishes to schedule payments for the bank holiday to be issued in advance. 
"
SPM-143242,DT037281,Income Support Participation for Work Eligibility screen throws an unhandled server exception if Year field is blank for Cash or Food Assistance,SOL,Income Support,Food Assistance,,"*Issue Description:*
An unhandled server exception occurs when the participation year field is empty on the Work Eligibility screen after selecting Show Participation in a Food Assistance integrated case.
*User Interface Impact:* No
*Steps to Reproduce:*
# Log in as an Income Support caseworker.
# Register a new Person.
# Submit an Income Support application for Food Assistance for this person and add evidence to satisfy eligibility requirements.
# On the application, clear all verifications and apply evidence changes.
# Check Eligibility for Food Assistance.
# Select Ready for Determination from the tab menu and click Yes on the confirmation modal.
# Authorize the Food Assistance program.
# Navigate to the Related Cases tab on the application and open the newly created Income Support integrated case.
# Select the Participation tab and navigate to the Work Eligibility screen.
# Issue: Clicking the Show Participation button with an empty participation year field throws an unhandled server exception.

*Resolution:*
A configurable validation has been introduced and is enabled by default. This can be disabled in the Validation Configuration section of the System Administration application to bypass the validation that checks whether the participation year field is empty.

Reference for the configurable validation added:
* ispgeneralerror.err&#95;general&#95;year&#95;empty|c|

"
SPM-143906,,Update the graphql-java JAR file and potentially the related GraphQL JAR files to later versions,Third Party Updates,,,,"The supported version of GraphQL Java used in the Cúram REST Infrastructure has been increased from 15.0 to 20.9. As a result of this upgrade, the following updates have been made. 
* EJBServercomponentsRestgraphql_libgraphql-java-20.9.jar - Updated to version 20.9
* EJBServercomponentsRestgraphql_libgraphql-java-kickstart-10.0.0.jar - Removed as it is no longer required following the GraphQL upgrade.
* EJBServercomponentsRestgraphql_libgraphql-java-servlet-10.0.0.jar - Removed as it is no longer required following the GraphQL upgrade.
* CuramSDEJlibthird&#95;party&#95;version.properties - Updated to reflect the JAR file changes described above.

Update your custom scripts and any other artifacts to remove or update any references to the JAR files specified above.
"
SPM-144151,DT037310,The focus is lost when expanding a list row that contains a dynamic UIM page,Accessibility,Application Development Environment,Client Development Environment,,"*Issue Description:*
In Cúram, when the Expand Content button has focus and a list row is expanded, focus might be lost if the inline page is a dynamic UIM page. This results in unpredictable focus movement for keyboard users, making it difficult to navigate through list items consistently.
*User Interface Impact:* No
*Steps to Reproduce:*
# Log in as a caseworker.
# Register a new Person.
# Navigate to the Evidence tab.
# Using the keyboard, navigate to any evidence type, such as Addresses.
# Press Enter to expand or collapse the toggle button.
# Issue: Focus is lost when the list row is expanded.

*Resolution:*
The focus management logic is updated to ensure that focus is retained on the expand or collapse toggle button after a row expands. This behavior is now consistent across both static and dynamic UIM pages, ensuring a predictable experience for keyboard users.
"
SPM-144163,DT037298,The gender field in the person context panel is not described by screen readers,Accessibility,,,,"*Issue Description:*
In Cúram, the gender field in the person context panel does not have a visible label. This prevents screen readers from describing the field and can be confusing for sighted users when non-standard gender values, such as ?Unknown?, are displayed without context. 
*User Interface Impact*: Yes
*Steps to Reproduce*:
# Start a screen reader.
# Log in as a caseworker.
# Register a Person.
# Navigate to the person home page.
# Issue: The gender field in the context panel has no label; therefore, it is not clear what the value represents, and screen readers cannot describe it.

*Resolution:*
A prefix label has been added to the gender field in the context panel. This ensures that both sighted users and screen reader users can correctly identify the gender field and its value, providing a consistent and clear experience for all users. 
*Technical:*
The required changes were implemented in the Platform and Solution repositories for all context panels that inherited from the Platform context panel. Customized context panels, such as those within the Child Welfare components, are out of scope and not addressed as part of this change.
"
SPM-144164,DT037299,The meaning behind the reference number field in a person context panel is not clear to sighted users,Accessibility,,,,"*Issue Description:*
In Cúram, the reference number field in the person context panel does not have a label, making it unclear to sighted users what the number represents. While screen readers announce a label for this field, the information is hidden from sighted users, resulting in an inconsistent experience.
*User Interface Impact:* Yes
*Steps to Reproduce*:
# Log in as a caseworker.
# Register a new Person.
# Issue: The reference number field in the context panel has no label; therefore, a sighted user cannot identify what the field represents.

*Resolution:*
A prefix label was added to the reference number field in the context panel. This ensures that both sighted users and screen readers can correctly identify and read the reference number field and its value. 
*Technical:*
The scope of this change is to update the default context panels within the Platform repositories. Such context panels are inherited by the Solution components. This decision ensured targeted updates to the standard context panels while maintaining the integrity of the custom implementations. "
SPM-144213,DT037305,Focus is randomly moved to the main panel elements while selecting tabs after a browser refresh,CEF,Application Development Environment,Client Development Environment,,"*Issue Description:*
When navigating through the navigation menu using a keyboard, the focus occasionally jumps to the first element of the current menu item instead of remaining within the navigation menu. This behavior occurs after a page reload and results in an unpredictable and confusing experience for keyboard users.
*User Interface Impact:* Yes
*Steps to Reproduce:*
# Log in as a caseworker.
# Open several shortcut panel items to populate 10 or more tabs.
# Reload the page.
# Begin tabbing through the navigation menu.
# Issue: Keyboard-driven tab navigation does not preserve the focus on the newly selected tab, causing usability and accessibility issues.

*Resolution:*
The application is updated to explicitly detect keyboard navigation between tabs. This ensures that focus remains on the correct tab button even after a page refresh or session restoration. The selected tab now correctly retains focus during keyboard navigation.
"
SPM-144387,DT037314,Custom task created during the submit for approval process is being closed automatically,CEF,Common Intake,Task Management,Workflow APIs,"*Issue Description:*
When a caseworker submits a product delivery for approval, any custom tasks created as part of this process are automatically closed by the system.
*User Interface Impact:* No
*Prerequisites:*
# A custom task must be raised in a hook point as part of the ?submit for approval? process for a product delivery.

*Steps to Reproduce: *
*Scenario 1 (Automated flow):*
# Log in as a caseworker.
# Register a new person.
# Create a new integrated case for the person.
# Add an associated product delivery.
# Submit the product delivery for approval so that it goes to a status of ?Approved?.
# Issue: The custom task is created and closed within the same transaction, so it is never available for a caseworker to act on.

*Scenario 2 (Manual flow):* 
# Log in as a caseworker.
# Register a new person.
# Create a new integrated case for the person.
# Add an associated product delivery.
# Submit the product delivery for approval so that it goes to a status of ?Submitted?.
# Approve or reject product delivery.
# Issue: The task that prompted the caseworker to approve the product delivery is correctly closed. However, the custom task that was created is also closed if a caseworker has not already acted on it.

*Resolution:*
A new activity category has been introduced specifically for the product delivery approval task. This category is now associated with a new version of the Cúram Product Delivery Approval Task workflow, CURAMPRODUCTDELIVERYAPPROVALTASK_v3.xml. 
This change allows the system to target the closure of the approval task to that specific activity category, rather than using the ?Standard? activity category, which inadvertently resulted in the custom task being closed. "
SPM-144422,DT037318,Screen reader does not announce the modal dialog name and role when it focuses on the first focusable element,CEF,Application Development Environment,Client Development Environment,,"*Issue Description:*
When a modal dialog opens, the screen reader does not announce the name and role of the dialog. Instead, the focus skips directly to the first interactive element inside the dialog. This behavior causes screen reader users to miss the context of the modal, leading to confusion about their current location in the application.
*User Interface Impact:* No 
*Steps to Reproduce:*
# Log in as a caseworker.
# Register a new person.
# Click the Evidence tab.
# Click the New Evidence button.
# Enable the screen reader.
# Click Add next to New Email Address.
# Listen to the screen reader?s behavior.
# Issue: The screen reader reads the Received Date, skipping the dialog name and role.

*Resolution:*
The focus management logic for modal dialogs is updated to ensure that screen readers correctly announce the dialog name and role. When a modal opens, focus is briefly set to the dialog container before moving to the first interactive element. This ensures that the context is clearly announced to the user. "
SPM-145016,DT037334,The iframe title of the Application Search page does not describe its content,Accessibility,,,,"*Issue Description:*
The iframe titles for the person and application search pages do not accurately indicate the specific page that the user is viewing.
*User Interface Impact:* No
*Steps to Reproduce: *
*Scenario 1:*
# Log in as an Insurance Affordability caseworker.
# Select Person under the Searches section from the HCR Cases and Outcomes shortcuts panel.
# Inspect the iframe containing the content of the person search page and check its title attribute.
# Issue: The iframe title currently displays the application section name instead of the actual page title. Users utilizing assistive technologies may be unable to determine the purpose or context of the current screen.

*Scenario 2:*
# Log in as an Income Support caseworker.
# Navigate to the Searches section from the Clients and Outcomes shortcuts panel.
# Select the Person and Application links to access the corresponding search pages.
# Inspect the iframe containing the content of both search pages and check their title attributes.
# Issue: The iframe titles display the application section name instead of the actual page titles. Users utilizing assistive technologies may be unable to determine the purpose or context of the current screen.

*Resolution:*
The iframe title attribute for each search page has been updated to reflect the specific page being displayed, ensuring that users using assistive technology receive accurate context.
"
SPM-145588,DT037339,"When combo box options receive keyboard focus, they have insufficient contrast with the combobox border colour",CEF,Application Development Environment,Client Development Environment,,"*Issue Description:*
When a user navigates through options in a combo box or dropdown menu, the visual indicator for the focused or hovered option has insufficient color contrast. This makes it difficult for users with visual impairments to identify which option is currently selected or highlighted. This issue occurs across various areas of the product where combo boxes are used.
*User Interface Impact:* No
*Steps to Reproduce:*
# Log in as a caseworker.
# Open the Register Person wizard and navigate to the second step.
# Open any combo box, such as Preferred Communication.
# Use the arrow keys on the keyboard to navigate through the available options.
# Issue: The focus state of the combo box options does not have sufficient contrast with the adjacent colors, making the selection hard to distinguish.

*Resolution:*
The focus and hover states for combo box options are updated to meet accessibility standards for non-text contrast. When a user navigates through options using a mouse, the highlighted option is now clearly shaded. When using a keyboard, the option with focus is indicated by a clear blue outline.
"
SPM-145686,DT037344,Deletion of Names evidence of type 'Registered' is cancelling the AlternateName record and causing an unhandled server exception on the person context panel,CEF,Dynamic Evidence,Dynamic Evidence,,"*Issue Description:*
Deleting Names evidence of type 'Registered' is cancelling the associated AlternateName record, resulting in an unhandled server exception on the person context panel.
*User Interface Impact:* No
*Prerequisites:*
# Log in as a system administrator.
# Click Property Administration under Application Data in the shortcuts panel.
# Search for the property ?curam.pec.enabled?.
# Use the row-level action to update the property?s value to YES.
# Publish the change using the page-level action.

*Steps to Reproduce:*
# Log in as a caseworker.
# Register a new Person.
# Click the Evidence navigation bar tab and select Dashboard.
# Use the page-level action to apply changes.
# From the Active evidence list page, click the Names evidence.
# Provide an effective-dated change and apply changes.
# Add a new Names evidence, select the case participant from the list, enter a new name, set the type to ?Preferred? and save.
# Apply Changes.
# Now, delete the first record in the original Names evidence succession.
# Apply changes.
# Issue: On refreshing the person context panel, an unhandled server exception is thrown.

*Resolution:*
The logic governing the removal of Names evidence has been updated to prevent the deletion of a registered name. Now, when a user attempts to delete a registered name, the following validation message is displayed: ?You cannot delete a registered name.? This makes the behavior of Participant Evidence Management (PEM) and Participant Data Case (PDC) consistent.
"
SPM-145716,DT037349,Initial focus should be set on important information when the user navigates to a page in the IEG modal,Accessibility,Intelligent Evidence Gathering,,,"*Issue Description:*
When an Intelligent Evidence Gathering modal dialog opens, the initial focus is incorrectly set to the first interactive element at the bottom of the form. This causes screen reader and keyboard-only users to miss important instructional text and links at the top of the page. This issue occurs across multiple Intelligent Evidence Gathering pages where critical information appears above the form fields.
*User Interface Impact:* Yes 
*Steps to Reproduce:*
# Log in as an Insurance Affordability caseworker.
# Register a person.
# Open the Actions menu and click New Application.
# Observe where the focus is placed when the modal dialog opens.
# Issue: The modal dialog sets the focus directly on a checkbox at the bottom of the content instead of the instructional text at the top.

*Resolution:*
The focus management logic for Intelligent Evidence Gathering modals is updated to follow an improved accessibility priority order. When a modal opens, focus now moves first to the error summary if one is present. If there are no errors, the focus moves to the first instructional text block to ensure users are aware of important information before they interact with the form. If no instructional text exists on the page, the focus moves to the first interactive element. If no interactive elements are available, the focus falls back to the Print link. This ensures that important content is announced in the proper reading order.
"
SPM-145737,DT037352,"Labels for Tab, Page and List Action menus lack clarity and are not descriptive",CEF,Application Development Environment,Client Development Environment,,"*Issue Description:*
The overflow button on page, and list action menus lack descriptive labels for assistive technologies. The tab actions button uses the HTML 'title' attribute instead of 'aria-label', and some page actions have no accessible name. Consequently, screen readers announce inconsistent or incorrect names, making it difficult for users to identify the purpose of these controls.
*User Interface Impact:* No
*Steps to Reproduce:*
# Log in as a caseworker.
# Register a person.
# Navigate to the Client Contact tab and open the Communications page.
# Create a new email communication.
# Using a screen reader, navigate to the Tab Action, Page Action, and List Action menus.
# Inspect the button element using the browser developer tools.
# Note that the button uses ?title? instead of ?aria-label? or that page actions may not have an accessible name at all.
# Issue: The screen reader may announce the controls incorrectly or, in some cases, not announce them at all with a meaningful name.

*Resolution:*
The user interface components are updated to improve accessibility. Descriptive 'aria-label' attributes are added to the tab, page, and list action menus, and unnecessary 'title' attributes are removed. These controls now provide consistent and descriptive names for screen reader users.
"
SPM-145793,DT037361,Cluster Bar Chart breaks the styling of other rows within the cluster,CEF,Application Development Environment,Client Development Environment,,"*Issue Description:*
In Work Queue Workspace, when a cluster contains a bar chart along with other child elements such as lists, fields, or additional clusters, the styling of sibling rows following the bar chart is broken. This results in overlaid and misaligned tables for organization object subscribers, which makes the data difficult to read and interact with for users.
*User Interface Impact:* Yes
*Steps to Reproduce:*
# Log in as an administrator.
# Create a new task and assign it to the supervisor work queue.
# Log in as a supervisor.
# Subscribe to a work queue with multiple tasks.
# Navigate to the work queue workspace.
# Observe the tables for organization object subscribers.
# Issue: Rows following a bar chart within a cluster were misaligned and overlaid.

*Resolution:*
The bar chart rendering logic has been updated to ensure all HTML tags are properly closed. As a result, sibling rows after the bar chart are now displayed correctly to the user, with proper alignment and no overlay. 
"
